species	code	habitat
Liberonautes grandbassa	1.6	Forest - Subtropical/Tropical Moist Lowland
Liberonautes grandbassa	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Aspatharia divaricata	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Sphaerodactylus cochranae	1.6	Forest - Subtropical/Tropical Moist Lowland
Diasporus igneus	1.9	Forest - Subtropical/Tropical Moist Montane
Margaritifera auricularia	15.9	Artificial/Aquatic - Canals and Drainage Channels, Ditches
Margaritifera auricularia	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Plectrohyla acanthodes	1.9	Forest - Subtropical/Tropical Moist Montane
Plectrohyla acanthodes	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Opisthostoma otostoma	1.6	Forest - Subtropical/Tropical Moist Lowland
Paphiopedilum victoria-regina	1.9	Forest - Subtropical/Tropical Moist Montane
Paphiopedilum victoria-regina	6	Rocky areas (eg. inland cliffs, mountain peaks)
Myaka myaka	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Hyloxalus ruizi	1.9	Forest - Subtropical/Tropical Moist Montane
Hyloxalus ruizi	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Zamia vazquezii	1.6	Forest - Subtropical/Tropical Moist Lowland
Peniocereus occidentalis	1.5	Forest - Subtropical/Tropical Dry
Dypsis elegans	1.6	Forest - Subtropical/Tropical Moist Lowland
Gastrochilus calceolaris	1.6	Forest - Subtropical/Tropical Moist Lowland
Apodocephala coursii	1.6	Forest - Subtropical/Tropical Moist Lowland
Megastomatohyla mixe	1.9	Forest - Subtropical/Tropical Moist Montane
Megastomatohyla mixe	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Echinocereus nivosus	4.5	Grassland - Subtropical/Tropical Dry
Rhinella chrysophora	1.6	Forest - Subtropical/Tropical Moist Lowland
