ObservationDate	StationNumber	StationName	Latitude	Longitude	TotalPrecipAmt
10/28/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0.06
10/28/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0.03
10/27/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0.2
10/27/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0.16
10/27/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0.13
10/27/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0.1
10/27/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0.11
10/27/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0.14
10/27/2020	 NH-HL-68	 Mason 2.9 SE	42.71674812	-71.72494791	0.11
10/27/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0.06
10/27/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0.09
10/26/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0.08
10/26/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0.06
10/26/2020	 NH-HL-68	 Mason 2.9 SE	42.71674812	-71.72494791	0.09
10/26/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0.08
10/26/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0.1
10/26/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0.09
10/26/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0.12
10/26/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0.1
10/26/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0
10/26/2020	 NH-HL-87	 Brookline 1.2 SSW	42.718927	-71.667576	0.1
10/25/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0
10/25/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0
10/25/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0
10/25/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0
10/25/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0
10/25/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0
10/25/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0
10/25/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0
10/24/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0.04
10/24/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0.02
10/24/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0
10/24/2020	 NH-HL-68	 Mason 2.9 SE	42.71674812	-71.72494791	0.04
10/24/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0.04
10/24/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0.01
10/24/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0.05
10/24/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0
10/23/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0.02
10/23/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0.03
10/23/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0.02
10/23/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0.03
10/23/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0.03
10/23/2020	 NH-HL-68	 Mason 2.9 SE	42.71674812	-71.72494791	0.03
10/23/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0
10/23/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0.02
10/23/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0.03
10/22/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0.03
10/22/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0.05
10/22/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0.02
10/22/2020	 NH-HL-68	 Mason 2.9 SE	42.71674812	-71.72494791	0.06
10/22/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0.05
10/22/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0.02
10/22/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0.05
10/22/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0
10/21/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0.01
10/21/2020	 NH-HL-87	 Brookline 1.2 SSW	42.718927	-71.667576	0.03
10/21/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0.1
10/21/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0.04
10/21/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0.07
10/21/2020	 NH-HL-68	 Mason 2.9 SE	42.71674812	-71.72494791	0.07
10/21/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0
10/21/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0.06
10/21/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0.07
10/20/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0
10/20/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0
10/20/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0
10/20/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0
10/20/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0
10/20/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	 T
10/20/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0
10/19/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0
10/19/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0
10/19/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0
10/19/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0
10/19/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0
10/19/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0
10/19/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0
10/19/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0
10/19/2020	 NH-HL-19	 Brookline 2.1 SW	42.7123505	-71.6975995	0
10/18/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0.17
10/18/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0
10/18/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0.03
10/18/2020	 NH-HL-68	 Mason 2.9 SE	42.71674812	-71.72494791	0.04
10/18/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0.04
10/18/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0.01
10/18/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0.02
10/18/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0.03
10/18/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0
10/17/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	2.51
10/17/2020	 NH-HL-87	 Brookline 1.2 SSW	42.718927	-71.667576	1.4
10/17/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	1.4
10/17/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	1.89
10/17/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	1.38
10/17/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	1.71
10/17/2020	 NH-HL-68	 Mason 2.9 SE	42.71674812	-71.72494791	1.59
10/17/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	1.54
10/17/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	1.58
10/17/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	1.76
10/16/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0
10/16/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0
10/16/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0
10/16/2020	 NH-HL-68	 Mason 2.9 SE	42.71674812	-71.72494791	0.02
10/16/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0
10/16/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	 T
10/16/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0
10/16/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0
10/16/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0
10/16/2020	 NH-HL-82	 Manchester 2.5 S	42.94781111	-71.43695278	0
10/16/2020	 NH-HL-87	 Brookline 1.2 SSW	42.718927	-71.667576	0.01
10/15/2020	 NH-HL-82	 Manchester 2.5 S	42.94781111	-71.43695278	0
10/15/2020	 NH-HL-99	 Peterborough 0.2 E	42.876334	-71.958875	0
10/15/2020	 NH-HL-84	 Milford 0.5 S	42.827181	-71.660694	0.02
10/15/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	0
10/15/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	0
10/15/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	0.03
10/15/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	0.02
10/15/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	0
10/15/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	0
10/14/2020	 NH-HL-25	 Amherst 3.7 NNE	42.914089	-71.610217	1.29
10/14/2020	 NH-HL-48	 Greenville 1.1 ENE	42.776745	-71.779923	1.58
10/14/2020	 NH-HL-96	 Manchester 0.6 S	42.974444	-71.444722	1.27
10/14/2020	 NH-HL-49	 Mont Vernon 1.3 SSW	42.87615734	-71.68280119	1.39
10/14/2020	 NH-HL-68	 Mason 2.9 SE	42.71674812	-71.72494791	1
10/14/2020	 NH-HL-100	 Brookline 2.3 SW	42.7119	-71.6908	1.47
10/14/2020	 NH-HL-77	 Weare 4.3 S	43.032228	-71.736697	1.72
