species	code	habitat
Gracula venerata	1.6	Forest - Subtropical/Tropical Moist Lowland
Gracula venerata	1.7	Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level
Gracula venerata	1.9	Forest - Subtropical/Tropical Moist Montane
Tapura wurdackiana	1.6	Forest - Subtropical/Tropical Moist Lowland
Zingiber flammeum	1.6	Forest - Subtropical/Tropical Moist Lowland
Thunbergia rufescens	1.6	Forest - Subtropical/Tropical Moist Lowland
Trachypithecus hatinhensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Trachypithecus hatinhensis	1.9	Forest - Subtropical/Tropical Moist Montane
Trachypithecus hatinhensis	6	Rocky areas (eg. inland cliffs, mountain peaks)
Trachypithecus hatinhensis	7.1	Caves and Subterranean Habitats (non-aquatic) - Caves
Mecostibus burtti	1.5	Forest - Subtropical/Tropical Dry
Eugenia arenicola	14.6	Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest
Eugenia arenicola	1.6	Forest - Subtropical/Tropical Moist Lowland
Atrichornis rufescens	1.4	Forest - Temperate
Atrichornis rufescens	1.6	Forest - Subtropical/Tropical Moist Lowland
Atrichornis rufescens	1.9	Forest - Subtropical/Tropical Moist Montane
Trachypithecus francoisi	1.5	Forest - Subtropical/Tropical Dry
Trachypithecus francoisi	1.6	Forest - Subtropical/Tropical Moist Lowland
Trachypithecus francoisi	1.9	Forest - Subtropical/Tropical Moist Montane
Trachypithecus francoisi	7.1	Caves and Subterranean Habitats (non-aquatic) - Caves
Lepilemur microdon	1.6	Forest - Subtropical/Tropical Moist Lowland
Aleurocystis gloeocystidiata	1.5	Forest - Subtropical/Tropical Dry
Rhopornis ardesiacus	1.5	Forest - Subtropical/Tropical Dry
Rhopornis ardesiacus	3.5	Shrubland - Subtropical/Tropical Dry
Procambarus acherontis	5.18	Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland)
Lonchocarpus michoacanicus	1.5	Forest - Subtropical/Tropical Dry
Ledermanniella linearifolia	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Ilex florifera	1.9	Forest - Subtropical/Tropical Moist Montane
Megophrys caudoprocta	1.9	Forest - Subtropical/Tropical Moist Montane
Megophrys caudoprocta	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Gaertnera brevipedicellata	1.6	Forest - Subtropical/Tropical Moist Lowland
Scaphochlamys baukensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Genista haenseleri	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Coffea littoralis	13.3	Marine Coastal/Supratidal - Coastal Sand Dunes
Coffea littoralis	1.5	Forest - Subtropical/Tropical Dry
Nectandra hirtella	1.6	Forest - Subtropical/Tropical Moist Lowland
Nectandra hirtella	1.9	Forest - Subtropical/Tropical Moist Montane
Drepanolejeunea aculeata	1.6	Forest - Subtropical/Tropical Moist Lowland
Peponidium pervilleanoides	1.6	Forest - Subtropical/Tropical Moist Lowland
Pyrrhura orcesi	1.6	Forest - Subtropical/Tropical Moist Lowland
Pyrrhura orcesi	1.9	Forest - Subtropical/Tropical Moist Montane
Valenfriesia rufopicta	1.6	Forest - Subtropical/Tropical Moist Lowland
Adenanthos terminalis	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Platostoma glomerulatum	1.6	Forest - Subtropical/Tropical Moist Lowland
