species	code	habitat
Oloplotosus torobo	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Hibiscus ankaramyensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Anarhynchus frontalis	12.4	Marine Intertidal - Mud Flats and Salt Flats
Anarhynchus frontalis	13.4	Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes
Anarhynchus frontalis	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Grevillea molyneuxii	3.4	Shrubland - Temperate
Myotis scotti	1.9	Forest - Subtropical/Tropical Moist Montane
Myotis scotti	3.7	Shrubland - Subtropical/Tropical High Altitude
Ozoroa gomesiana	1.5	Forest - Subtropical/Tropical Dry
Ozoroa gomesiana	2.1	Savanna - Dry
Asteropeia matrambody	1.6	Forest - Subtropical/Tropical Moist Lowland
Gravesia setifera	1.6	Forest - Subtropical/Tropical Moist Lowland
Oloplotosus torobo	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Hibiscus ankaramyensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Anarhynchus frontalis	12.4	Marine Intertidal - Mud Flats and Salt Flats
Anarhynchus frontalis	13.4	Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes
Anarhynchus frontalis	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Grevillea molyneuxii	3.4	Shrubland - Temperate
Myotis scotti	1.9	Forest - Subtropical/Tropical Moist Montane
Myotis scotti	3.7	Shrubland - Subtropical/Tropical High Altitude
Ozoroa gomesiana	1.5	Forest - Subtropical/Tropical Dry
Ozoroa gomesiana	2.1	Savanna - Dry
Asteropeia matrambody	1.6	Forest - Subtropical/Tropical Moist Lowland
Mammillaria luethyi	3.5	Shrubland - Subtropical/Tropical Dry
Mammillaria luethyi	6	Rocky areas (eg. inland cliffs, mountain peaks)
Haniffia albiflora	1.6	Forest - Subtropical/Tropical Moist Lowland
Reithrodontomys hirsutus	8.1	Desert - Hot
Monias benschi	14.6	Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest
Monias benschi	1.5	Forest - Subtropical/Tropical Dry
Monias benschi	3.5	Shrubland - Subtropical/Tropical Dry
Myrmotherula surinamensis	14.6	Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest
Myrmotherula surinamensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Myrmotherula surinamensis	1.7	Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level
Myrmotherula surinamensis	1.8	Forest - Subtropical/Tropical Swamp
Matucana krahnii	1.5	Forest - Subtropical/Tropical Dry
Acropogon calcicolus	1.5	Forest - Subtropical/Tropical Dry
Cochlearia tatrae	6	Rocky areas (eg. inland cliffs, mountain peaks)
Hemitriccus furcatus	1.6	Forest - Subtropical/Tropical Moist Lowland
Hemitriccus furcatus	3.6	Shrubland - Subtropical/Tropical Moist
Eucalyptus burracoppinensis	1.4	Forest - Temperate
Eucalyptus burracoppinensis	3.4	Shrubland - Temperate
Eucalyptus burracoppinensis	8.2	Desert - Temperate
Acer confertifolium	1.4	Forest - Temperate
Hakea sulcata	17	Other
Hakea sulcata	5.3	Wetlands (inland) - Shrub Dominated Wetlands
Hakea sulcata	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Eunymphicus cornutus	1.6	Forest - Subtropical/Tropical Moist Lowland
Eunymphicus cornutus	1.9	Forest - Subtropical/Tropical Moist Montane
Eunymphicus cornutus	2.2	Savanna - Moist
Eunymphicus cornutus	3.6	Shrubland - Subtropical/Tropical Moist
Gomphoceridius brevipennis	4.4	Grassland - Temperate
Miconia gonioclada	1.9	Forest - Subtropical/Tropical Moist Montane
Miconia gonioclada	3.5	Shrubland - Subtropical/Tropical Dry
Gnetum acutum	1.6	Forest - Subtropical/Tropical Moist Lowland
Nesoryzomys fernandinae	3.5	Shrubland - Subtropical/Tropical Dry
Leptoseris yabei	9.8	Marine Neritic - Coral Reef
Leptoseris yabei	9.8.3	Foreslope (Outer Reef Slope)
Hakea strumosa	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Hopea johorensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Burmeistera crispiloba	1.6	Forest - Subtropical/Tropical Moist Lowland
Burmeistera crispiloba	1.9	Forest - Subtropical/Tropical Moist Montane
Leiopython fredparkeri	1.8	Forest - Subtropical/Tropical Swamp
Leiopython fredparkeri	1.9	Forest - Subtropical/Tropical Moist Montane
Leiopython fredparkeri	4.7	Grassland - Subtropical/Tropical High Altitude
Buteo ventralis	1.4	Forest - Temperate
Buteo ventralis	3.5	Shrubland - Subtropical/Tropical Dry
Buteo ventralis	3.7	Shrubland - Subtropical/Tropical High Altitude
Buteo ventralis	4.4	Grassland - Temperate
Tetratoma tedaldi	1.4	Forest - Temperate
Pristimantis johannesdei	1.9	Forest - Subtropical/Tropical Moist Montane
Crossandra albolineata	1.5	Forest - Subtropical/Tropical Dry
Picathartes gymnocephalus	14.6	Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest
Picathartes gymnocephalus	1.6	Forest - Subtropical/Tropical Moist Lowland
Picathartes gymnocephalus	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Diomedea epomophora	10.1	Marine Oceanic - Epipelagic (0-200m)
Diomedea epomophora	10.1	Marine Oceanic - Epipelagic (0-200m)
Diomedea epomophora	4.3	Grassland - Subantarctic
Diomedea epomophora	9.1	Marine Neritic - Pelagic
Diomedea epomophora	9.1	Marine Neritic - Pelagic
Pseudodon cumingii	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Falco concolor	1.5	Forest - Subtropical/Tropical Dry
Falco concolor	1.6	Forest - Subtropical/Tropical Moist Lowland
Falco concolor	2.1	Savanna - Dry
Falco concolor	3.5	Shrubland - Subtropical/Tropical Dry
Falco concolor	3.6	Shrubland - Subtropical/Tropical Moist
